Month,CPI,Wage,Unemployment
Jan-01,96.3,15.98,12.6
Feb-01,96.8,15.78,13.6
Mar-01,97.1,15.65,13.3
Apr-01,97.8,15.88,13.6
May-01,98.6,15.82,13.2
Jun-01,98.7,16.05,12.1
Jul-01,98.4,15.75,13.3
Aug-01,98.4,15.75,11.8
Sep-01,98.6,16.06,12.8
Oct-01,98.1,16.09,12.4
Nov-01,97.2,16.19,13.3
Dec-01,97.4,16.08,12.6
Jan-02,97.6,16.17,14.6
Feb-02,98.2,16.19,14.7
Mar-02,98.9,16.19,14.5
Apr-02,99.5,16.3,14.1
May-02,99.7,16.19,15.5
Jun-02,99.9,16.23,12.8
Jul-02,100.5,16.32,14
Aug-02,100.9,15.92,12.6
Sep-02,100.9,16.16,12.9
Oct-02,101.2,16.26,13
Nov-02,101.5,16.29,13.2
Dec-02,101.1,16.33,11.8
Jan-03,102,16.31,14.1
Feb-03,102.8,16.51,13.8
Mar-03,103.1,16.44,13
Apr-03,102.4,16.69,14
May-03,102.5,16.59,15.4
Jun-03,102.5,16.83,13
Jul-03,102.6,16.66,14.6
Aug-03,102.9,16.61,13.2
Sep-03,103.1,16.8,14
Oct-03,102.8,16.97,13.1
Nov-03,103.1,17.07,12.9
Dec-03,103.2,16.94,12.3
Jan-04,103.3,17.15,14.5
Feb-04,103.5,17.1,14.6
Mar-04,103.9,17.02,14.5
Apr-04,104.1,17.09,14.3
May-04,105,17.16,15.5
Jun-04,105.1,17.24,12.3
Jul-04,105,17.21,14
Aug-04,104.8,17.04,12.7
Sep-04,105,17.21,13
Oct-04,105.2,17.18,12.7
Nov-04,105.6,17.53,12.3
Dec-04,105.4,17.57,11.2
Jan-05,105.3,17.65,13.4
Feb-05,105.7,17.81,13
Mar-05,106.3,17.51,13.2
Apr-05,106.6,17.67,12.8
May-05,106.7,17.67,14.2
Jun-05,106.9,17.78,12.2
Jul-05,107.1,17.65,13.6
Aug-05,107.5,17.77,11.5
Sep-05,108.4,18.11,12.4
Oct-05,107.9,18.12,11.6
Nov-05,107.7,18.14,10.5
Dec-05,107.6,18.01,10.3
Jan-06,108.2,18.09,12.8
Feb-06,108,18.26,11.8
Mar-06,108.6,18.13,11.9
Apr-06,109.2,18.09,12.1
May-06,109.7,18.11,12
Jun-06,109.5,18.15,10.4
Jul-06,109.6,18.03,12.7
Aug-06,109.8,18.21,11.5
Sep-06,109.2,18.22,12.6
Oct-06,109,18.32,10.8
Nov-06,109.2,18.36,11.1
Dec-06,109.4,18.67,9.7
Jan-07,109.4,18.74,12.2
Feb-07,110.2,18.7,11.1
Mar-07,111.1,18.88,11.3
Apr-07,111.6,18.85,11.6
May-07,112.1,18.98,12.2
Jun-07,111.9,18.99,10
Jul-07,112,18.71,11
Aug-07,111.7,18.69,10
Sep-07,111.9,18.99,11.7
Oct-07,111.6,19.11,10.8
Nov-07,111.9,19.31,10.9
Dec-07,112,19.46,9.8
Jan-08,111.8,19.42,11.9
Feb-08,112.2,19.56,11.4
Mar-08,112.6,19.76,11.1
Apr-08,113.5,19.68,12.2
May-08,114.6,19.35,12.9
